model,split,forecast_horizon_hour,n_rows,mae,rmse,mape
Prophet,test,1,199,1344.1037317127086,1780.2920088184717,4.559797499796656
Prophet,test,2,199,1241.7238499797024,1684.136585509066,4.253560735628286
Prophet,test,3,199,1234.7471140487798,1655.3234226436057,4.333576061629869
Prophet,test,4,199,1197.717123613208,1598.4406599988342,4.376776904908806
Prophet,test,5,199,1202.755900198165,1607.1493598382733,4.615832201436127
Prophet,test,6,199,1246.053226630619,1648.1789187699555,5.021034466216589
Prophet,test,7,199,1377.9657094366744,1714.290139032729,5.803110151773938
Prophet,test,8,198,1447.7937266432953,1752.1334032213656,6.250583837445195
Prophet,test,9,198,1545.669176758195,1866.2265027199624,6.733054361523544
Prophet,test,10,198,1581.246160177557,1920.0335911908228,6.854490651389325
Prophet,test,11,198,1529.1154059980774,1893.908422539385,6.448480543991616
Prophet,test,12,198,1510.5499357297738,1933.5458485535517,6.073052415593275
Prophet,test,13,198,1811.2950334420825,2310.6470052063028,6.851271500283425
Prophet,test,14,198,1944.1069301604648,2499.465545932585,6.936820142075136
Prophet,test,15,198,2170.510343649354,2691.520326657612,7.498478532185
Prophet,test,16,198,2186.755100799947,2605.8785751603905,7.562888320011983
Prophet,test,17,198,1995.581977470772,2414.6863890001728,6.953819379458713
Prophet,test,18,198,1807.182650240756,2207.2692421374445,6.289713639203019
Prophet,test,19,198,1758.7782166526813,2153.75750912588,6.121106370316976
Prophet,test,20,198,1816.536799481232,2224.8005208372697,6.3293524050090575
Prophet,test,21,198,1895.361111408262,2293.832376848508,6.535988434217818
Prophet,test,22,198,1915.5568364336384,2305.97237415823,6.511035041159609
Prophet,test,23,198,1835.5728152864067,2225.5598946175887,6.162129051193065
Prophet,test,24,198,1686.2525618624138,2067.640724610702,5.632725295380735
Prophet,test,25,198,1428.272060015081,1823.4085000780235,4.824935377477649
Prophet,test,26,198,1273.971580868496,1625.5434865630295,4.3367596314605805
Prophet,test,27,198,1269.0341355406345,1583.002935007972,4.413966231332984
