model,split,forecast_horizon_hour,n_rows,mae,rmse,mape
SARIMAX,test,1,199,287.4903663478643,466.1070082026925,0.9598156607432455
SARIMAX,test,2,199,548.4408367737881,772.7297201422085,1.8226504840241555
SARIMAX,test,3,199,765.7060381194643,1030.1850179177977,2.611177975877794
SARIMAX,test,4,199,948.5632970792537,1236.4245124306328,3.3842746638660803
SARIMAX,test,5,199,1111.5837981063628,1436.3732313982882,4.200199676049509
SARIMAX,test,6,199,1263.9090019850082,1627.1285659785235,5.039387440523468
SARIMAX,test,7,199,1384.7393054396198,1785.3558567753666,5.7658901045597695
SARIMAX,test,8,198,1504.039332950811,1939.6654086513927,6.464989778802771
SARIMAX,test,9,198,1609.2015603533382,2073.907674764635,7.036252596733221
SARIMAX,test,10,198,1702.0523040037633,2198.199309615907,7.451615703981079
SARIMAX,test,11,198,1803.3235740629023,2334.1837150945653,7.752204351645155
SARIMAX,test,12,198,1985.8415177500156,2553.157612853752,8.233120757608157
SARIMAX,test,13,198,2201.3888310291427,2819.423763756936,8.72799466801895
SARIMAX,test,14,198,2226.079694579671,2868.724722488526,8.442741775343155
SARIMAX,test,15,198,2025.0040896757828,2637.6045351783782,7.4231032942868165
SARIMAX,test,16,198,1718.814558696842,2289.922763923348,6.183061627721484
SARIMAX,test,17,198,1550.812314541725,2056.611558767678,5.434712491192624
SARIMAX,test,18,198,1480.9548976201706,1986.3366034822131,5.056541687442255
SARIMAX,test,19,198,1493.9378310783031,2045.2487004049212,5.004834931958251
SARIMAX,test,20,198,1565.2366511772984,2166.430984011355,5.234959500573047
SARIMAX,test,21,198,1682.8842734043742,2331.008126535968,5.6377148193202755
SARIMAX,test,22,198,1783.122142611884,2465.8299347961856,5.971857239888225
SARIMAX,test,23,198,1838.3298229284865,2532.5515950499594,6.0991975167949475
SARIMAX,test,24,198,1842.5677090089928,2548.466811767151,6.027943493027981
SARIMAX,test,25,198,1836.1046575513908,2572.2397691292454,5.966119646437611
SARIMAX,test,26,198,1867.3632023092612,2605.080996978036,6.139744862349566
SARIMAX,test,27,198,1911.8484028799312,2652.601986404725,6.449761517867247
SARIMAX,test,28,198,1960.4752457692632,2706.258343851046,6.925911109978407
SARIMAX,test,29,198,2024.9507336195347,2791.0775849868637,7.562824343143772
SARIMAX,test,30,198,2107.619135058258,2896.1565542501276,8.308292591471343
SARIMAX,test,31,198,2225.0704627799455,3035.456064027834,9.162796678140545
SARIMAX,test,32,198,2356.4500856495915,3196.5856693907326,9.98639940797899
SARIMAX,test,33,198,2481.4036551335676,3349.1588523218693,10.686936444000244
SARIMAX,test,34,198,2599.9473699724267,3492.752243566578,11.221179393447127
SARIMAX,test,35,198,2752.2847977735423,3694.508025781663,11.683162947112695
SARIMAX,test,36,198,3037.9565207086175,4006.6872609605516,12.440542214848595
SARIMAX,test,37,198,3331.122857716257,4349.487055457852,13.059237500151614
SARIMAX,test,38,198,3382.5881164947214,4428.247690224689,12.657357857474008
SARIMAX,test,39,198,3152.6030714135672,4179.1067922351485,11.386221920343429
SARIMAX,test,40,198,2834.3169813505997,3831.6047105475977,10.0219067630492
SARIMAX,test,41,198,2665.495211650142,3652.8955911129065,9.216988613994609
SARIMAX,test,42,198,2642.0002001589014,3623.145280895003,8.989820566729923
SARIMAX,test,43,198,2698.76360314842,3685.2019669241713,9.136900836723438
SARIMAX,test,44,198,2781.638851277866,3776.1006503323206,9.42783968253786
SARIMAX,test,45,198,2882.1549396945948,3868.3539736754915,9.800758288046566
SARIMAX,test,46,198,2994.165623607331,3968.8344039031786,10.194240720673822
SARIMAX,test,47,198,3054.1640341941497,4020.4310574985916,10.330165675131093
SARIMAX,test,48,198,3109.784447528859,4077.5876496107053,10.396323891131805
SARIMAX,validation,1,183,271.2211905539299,349.9437057318416,0.9544497252417162
SARIMAX,validation,2,183,532.5673139824205,674.6494489992314,1.8654781301590022
SARIMAX,validation,3,183,737.4097509836625,929.4135401048172,2.616271607818182
SARIMAX,validation,4,183,911.6645577943634,1152.0195464351746,3.3626314711329415
SARIMAX,validation,5,183,1100.9318113612392,1376.9243274431803,4.273625977418169
SARIMAX,validation,6,183,1270.6454971194976,1577.727758994104,5.168540773563257
SARIMAX,validation,7,183,1377.3124508037408,1719.4717670425036,5.788307262462896
SARIMAX,validation,8,183,1497.5521925530534,1877.726277282304,6.43813501292184
SARIMAX,validation,9,183,1600.4970213633535,2020.6900121161298,6.971014091709684
SARIMAX,validation,10,183,1679.6698864216523,2117.4037302171478,7.338756342736554
SARIMAX,validation,11,183,1764.417151047354,2238.901682491693,7.612016072851121
SARIMAX,validation,12,183,1942.4674650515083,2511.033072861009,8.087087237786774
SARIMAX,validation,13,183,2163.8969362116604,2805.915607168136,8.654559605471823
SARIMAX,validation,14,183,2202.171940136329,2853.3888465291293,8.481114243409793
SARIMAX,validation,15,183,2016.6468762758873,2589.0866751227823,7.560016855551045
SARIMAX,validation,16,183,1695.9347434984106,2175.034141535507,6.2577524198546035
SARIMAX,validation,17,183,1471.957155053491,1897.8760134376762,5.306309179941203
SARIMAX,validation,18,183,1430.0625340781694,1839.7272819919206,4.9963387584498875
SARIMAX,validation,19,183,1437.3694679712842,1892.0302808711667,4.899969350633646
SARIMAX,validation,20,183,1482.388692203222,1985.9374497364734,4.982546623852673
