feature,importance
temperature_2m_albany_ga,0.00239247
temperature_2m_atlanta_ga,0.0015310261
temperature_2m_birmingham_al,0.0005845161
temperature_2m_huntsville_al,0.0002792326
temperature_2m_meridian_ms,0.00025600017
temperature_2m_mobile_al,0.0004955795
temperature_2m_savannah_ga,0.000585702
relative_humidity_2m_albany_ga,8.47927e-05
relative_humidity_2m_atlanta_ga,0.0001042725
relative_humidity_2m_birmingham_al,9.927459e-05
relative_humidity_2m_huntsville_al,7.980498e-05
relative_humidity_2m_meridian_ms,6.9654554e-05
relative_humidity_2m_mobile_al,8.094395e-05
relative_humidity_2m_savannah_ga,8.158323e-05
dew_point_2m_albany_ga,0.00019776131
dew_point_2m_atlanta_ga,0.00046952502
dew_point_2m_birmingham_al,0.00028954766
dew_point_2m_huntsville_al,0.00017971813
dew_point_2m_meridian_ms,0.00030510293
dew_point_2m_mobile_al,0.00016982041
dew_point_2m_savannah_ga,0.00017144538
precipitation_albany_ga,6.4719476e-05
precipitation_atlanta_ga,0.00010202542
precipitation_birmingham_al,7.788136e-05
precipitation_huntsville_al,7.819744e-05
precipitation_meridian_ms,9.3821975e-05
precipitation_mobile_al,9.085727e-05
precipitation_savannah_ga,6.750221e-05
surface_pressure_albany_ga,0.00010766542
surface_pressure_atlanta_ga,7.123938e-05
surface_pressure_birmingham_al,7.2219875e-05
surface_pressure_huntsville_al,6.865934e-05
surface_pressure_meridian_ms,0.00011593168
surface_pressure_mobile_al,0.00010076581
surface_pressure_savannah_ga,8.036716e-05
wind_speed_10m_albany_ga,8.975901e-05
wind_speed_10m_atlanta_ga,8.951297e-05
wind_speed_10m_birmingham_al,7.244386e-05
wind_speed_10m_huntsville_al,7.4799515e-05
wind_speed_10m_meridian_ms,8.175516e-05
wind_speed_10m_mobile_al,8.0342375e-05
wind_speed_10m_savannah_ga,7.456134e-05
shortwave_radiation_albany_ga,0.0006371695
shortwave_radiation_atlanta_ga,0.0011176593
shortwave_radiation_birmingham_al,0.00070148776
shortwave_radiation_huntsville_al,0.00047876727
shortwave_radiation_meridian_ms,0.00035956607
shortwave_radiation_mobile_al,0.00049179286
shortwave_radiation_savannah_ga,0.00078407186
hour,0.0041381666
day_of_week,0.0007132692
day_of_month,9.202847e-05
day_of_year,0.00022653784
month,0.00014682981
quarter,0.0
year,0.00021411535
week_of_year,0.00028206877
is_weekend,0.0017569277
is_month_start,8.537382e-05
is_month_end,6.750088e-05
is_quarter_start,8.0555415e-05
is_quarter_end,6.1786726e-05
hour_sin,0.0017654209
hour_cos,0.013600005
day_of_week_sin,0.00018110321
day_of_week_cos,0.00018201022
month_sin,0.00031034808
month_cos,0.00050695194
day_of_year_sin,0.000342942
day_of_year_cos,0.00033599735
is_holiday,0.0003419842
demand_imputed_pudl_mwh_lag_1h,0.72031665
demand_imputed_pudl_mwh_lag_2h,0.004636708
demand_imputed_pudl_mwh_lag_3h,0.009214577
demand_imputed_pudl_mwh_lag_24h,0.05145965
demand_imputed_pudl_mwh_lag_48h,9.86206e-05
demand_imputed_pudl_mwh_lag_72h,0.00010490828
demand_imputed_pudl_mwh_lag_168h,0.00023665598
demand_imputed_pudl_mwh_rolling_mean_3h,0.041178536
demand_imputed_pudl_mwh_rolling_mean_6h,0.0010039731
demand_imputed_pudl_mwh_rolling_mean_24h,0.0021472687
demand_imputed_pudl_mwh_rolling_mean_168h,0.00014754769
demand_imputed_pudl_mwh_rolling_max_24h,0.0015312907
demand_imputed_pudl_mwh_rolling_min_24h,0.00075242046
demand_imputed_pudl_mwh_rolling_std_24h,0.00064741547
temperature_2m_regional_mean,0.025630997
relative_humidity_2m_regional_mean,0.00015169033
dew_point_2m_regional_mean,0.0009139202
precipitation_regional_mean,0.00046669118
surface_pressure_regional_mean,8.1785205e-05
wind_speed_10m_regional_mean,0.0001687097
shortwave_radiation_regional_mean,0.005019833
CDH_regional,0.05971424
HDH_regional,0.0079109585
CDH_regional_rolling_mean_3h,0.019484095
HDH_regional_rolling_mean_3h,0.0035288332
CDH_regional_rolling_mean_6h,0.00022707145
HDH_regional_rolling_mean_6h,0.001528845
CDH_regional_rolling_mean_24h,0.0008826697
HDH_regional_rolling_mean_24h,0.0005481153
