model,split,forecast_horizon_hour,n_rows,mae,rmse,mape
XGBoost,test,1,199,237.164700455402,335.48343935199955,0.7671887381309773
XGBoost,test,2,199,363.1190915515076,518.0330682609571,1.18583994529864
XGBoost,test,3,199,439.8311086683417,651.4706199864188,1.4612843816569816
XGBoost,test,4,199,465.9970065169598,721.2013944915872,1.6048468930017976
XGBoost,test,5,199,498.71205637562815,786.0676570123784,1.800502891439507
XGBoost,test,6,199,507.5429393059045,842.3741538602786,1.9157561054543115
XGBoost,test,7,199,571.2830362751256,823.6899631863532,2.2415181879695125
XGBoost,test,8,198,606.2858566130051,800.9930329739657,2.488894612990312
XGBoost,test,9,198,641.9499980271464,840.1497911709093,2.698061896152824
XGBoost,test,10,198,649.1849155618687,845.3974915194503,2.7537190754911536
XGBoost,test,11,198,635.4464271622475,839.8273867813688,2.645306159226627
XGBoost,test,12,198,643.8227095170455,870.1073121248158,2.570214238207837
XGBoost,test,13,198,648.5922802241162,904.114559120101,2.4401572224878696
XGBoost,test,14,198,608.745176373106,860.2998509650907,2.1921497585407583
XGBoost,test,15,198,574.34765625,780.9903653960038,2.00914875193778
XGBoost,test,16,198,571.0115806502525,778.2229620045583,1.9599838464535209
XGBoost,test,17,198,616.5694247159091,815.5134220779627,2.0825743600757
XGBoost,test,18,198,664.2042396622475,885.7272853443383,2.2164782322757404
XGBoost,test,19,198,707.2316031407828,963.1088306404188,2.340841958001522
XGBoost,test,20,198,756.0776317866162,1024.880444552795,2.512738324435381
XGBoost,test,21,198,802.860657354798,1072.5698012980315,2.670790974832085
XGBoost,test,22,198,815.2025232796717,1078.4511766484063,2.7018215176407256
XGBoost,test,23,198,829.8439374210859,1058.1618517934348,2.7136822404070284
XGBoost,test,24,198,819.01604916351,1026.3648005258233,2.6480566811994293
XGBoost,test,25,198,820.6920572916666,1040.048021494526,2.6322371981310324
XGBoost,test,26,198,765.1818280460859,989.5849768413226,2.463973587236182
XGBoost,test,27,198,733.6412267203283,952.9557283383356,2.421911183946951
XGBoost,test,28,198,699.0492818813132,913.4611759111216,2.3999552374981463
XGBoost,test,29,198,658.906831991793,865.780413795302,2.379964584821849
XGBoost,test,30,198,631.902284564394,829.4336454813194,2.401437042166328
XGBoost,test,31,198,649.8817866161617,852.2409852924671,2.574743890657107
XGBoost,test,32,198,703.8187934027778,911.2129601492658,2.8948609011962665
XGBoost,test,33,198,744.7799775094697,958.020732959454,3.111156191164941
XGBoost,test,34,198,764.5392104640151,983.2416103392304,3.1829594577964464
XGBoost,test,35,198,789.4631865530303,1023.640205886641,3.2086162543701056
XGBoost,test,36,198,826.4581755050505,1092.6121864791803,3.201909228683108
XGBoost,test,37,198,853.9811592487374,1155.9692486239103,3.138761199080065
XGBoost,test,38,198,826.4647451073232,1164.8249833415764,2.896409085922385
XGBoost,test,39,198,751.3085740214647,1092.1562136260768,2.590052600800129
XGBoost,test,40,198,701.9927892203283,1096.3448223934236,2.4111959894732733
XGBoost,test,41,198,705.9295592645202,1151.0009660942071,2.398924989085469
XGBoost,test,42,198,732.3640506628788,1195.7096864786677,2.4805257298049725
XGBoost,test,43,198,787.0551511205808,1275.7771302229307,2.6771384367044933
XGBoost,test,44,198,828.6574041193181,1343.0132593650249,2.8389226838772226
XGBoost,test,45,198,873.684935290404,1410.1883030758624,2.993168160917996
XGBoost,test,46,198,907.2943596117424,1475.6477418240397,3.089699801881693
XGBoost,test,47,198,896.6500946969697,1452.478402277209,3.0156774350046183
XGBoost,test,48,198,929.8412346117424,1442.083619796759,3.075336239859863
XGBoost,validation,1,183,199.7830537056011,292.66491792280715,0.6613059296468011
XGBoost,validation,2,183,309.1847784323771,445.29925290372034,1.0470631258141956
XGBoost,validation,3,183,366.4632214822405,513.8200484423476,1.267396789558887
XGBoost,validation,4,183,394.9668609118853,527.5979376425455,1.4043376120530011
XGBoost,validation,5,183,411.5581134733607,527.8384382838393,1.5301331731927046
XGBoost,validation,6,183,458.2309276810109,585.2019021326911,1.8106112819054905
XGBoost,validation,7,183,468.8615522540984,596.559866531687,1.901402966855288
XGBoost,validation,8,183,478.7074688353825,621.4204370690355,1.9922603213722576
XGBoost,validation,9,183,511.23951929644807,655.4924486698925,2.161188085943376
XGBoost,validation,10,183,505.62376195355193,656.7334818810531,2.1349156714461297
XGBoost,validation,11,183,537.7326886953551,688.1083114907095,2.2458772189501026
XGBoost,validation,12,183,598.3964096653006,771.8255171793436,2.4043949204839348
XGBoost,validation,13,183,651.6768165129781,872.3307427314757,2.5023594036862145
XGBoost,validation,14,183,679.8841572745902,943.93507711198,2.508776930623958
XGBoost,validation,15,183,634.4128884904371,850.2842818864798,2.3210729250160846
XGBoost,validation,16,183,591.8635800887978,791.5902313980754,2.150359318623411
XGBoost,validation,17,183,603.0262337773224,799.819028834834,2.141748619149276
XGBoost,validation,18,183,666.6518741461749,850.8522687416735,2.305413281760026
XGBoost,validation,19,183,699.8951396004098,916.3282784643794,2.3728320299207724
XGBoost,validation,20,183,716.6717896174863,953.136900026575,2.404220583532305
XGBoost,validation,21,183,728.5131702527323,956.1552725748508,2.426710420201515
XGBoost,validation,22,183,772.9811945013661,1007.8970310837994,2.527882629525707
XGBoost,validation,23,183,785.2209806181694,1035.7031344686204,2.542283606628601
XGBoost,validation,24,183,785.2380998121585,1042.9828487316993,2.522686259057712
XGBoost,validation,25,183,737.0972186646175,1003.4414280582098,2.348967816172192
XGBoost,validation,26,183,677.8284665300547,953.4089656770296,2.199019763676777
XGBoost,validation,27,183,632.5059767759562,896.5330913010225,2.1240804572110474
XGBoost,validation,28,183,620.766702954235,856.1107343303556,2.170607891579856
XGBoost,validation,29,183,629.9978334187158,833.2212774886698,2.328052614302265
XGBoost,validation,30,183,649.5237149931694,830.0125304757082,2.5492450576535344
XGBoost,validation,31,183,656.799906079235,821.1392327139542,2.68473114292722
XGBoost,validation,32,183,615.7109695184427,792.8186340790704,2.5775070469509727
XGBoost,validation,33,183,610.2278752561475,797.0945308426739,2.5984296784596803
XGBoost,validation,34,183,626.1680541325137,808.4129060302564,2.678540123446773
XGBoost,validation,35,183,660.613953637295,852.5554931994735,2.7967687799755345
XGBoost,validation,36,183,681.3838691086065,881.7766635955336,2.803540647748721
XGBoost,validation,37,183,707.2589544911202,910.9809327518764,2.785739538996258
XGBoost,validation,38,183,706.0232774077868,921.8252937873158,2.6604885665674822
XGBoost,validation,39,183,679.611018613388,894.2927171081573,2.4776975756975146
XGBoost,validation,40,183,626.4228462260929,818.8443450894038,2.2149683204330555
XGBoost,validation,41,183,625.0517631489071,790.4444320403339,2.1529710763190586
XGBoost,validation,42,183,679.2087068818306,855.278491764564,2.302993046638492
XGBoost,validation,43,183,736.212890625,935.928217061253,2.4564092000475397
XGBoost,validation,44,183,784.2774931693989,997.4112295043708,2.610392842418104
XGBoost,validation,45,183,803.775700136612,1027.6030136701625,2.6663998334634984
XGBoost,validation,46,183,846.1412440232241,1088.5763802686138,2.7719217736825805
XGBoost,validation,47,183,846.1703274419399,1116.7154370869814,2.736387274548001
XGBoost,validation,48,183,821.501953125,1097.6340748350688,2.644838090073708
