feature,mean_abs_shap
demand_imputed_pudl_mwh_lag_1h,4209.135
hour_cos,270.15067
CDH_regional,117.28054
hour,114.111435
demand_imputed_pudl_mwh_lag_3h,113.75762
demand_imputed_pudl_mwh_lag_2h,97.64377
demand_imputed_pudl_mwh_lag_24h,78.260216
temperature_2m_regional_mean,74.961136
demand_imputed_pudl_mwh_rolling_mean_3h,54.119274
temperature_2m_atlanta_ga,53.052113
day_of_week,51.87112
hour_sin,50.848366
HDH_regional,29.815893
shortwave_radiation_regional_mean,27.484716
demand_imputed_pudl_mwh_rolling_mean_24h,25.47476
shortwave_radiation_atlanta_ga,24.596035
shortwave_radiation_savannah_ga,22.223364
temperature_2m_albany_ga,21.92688
year,16.351082
CDH_regional_rolling_mean_3h,16.089462
demand_imputed_pudl_mwh_lag_168h,15.097715
dew_point_2m_atlanta_ga,14.708564
demand_imputed_pudl_mwh_rolling_min_24h,12.660781
demand_imputed_pudl_mwh_rolling_std_24h,11.688293
temperature_2m_savannah_ga,10.610822
dew_point_2m_regional_mean,10.34055
shortwave_radiation_albany_ga,10.136752
demand_imputed_pudl_mwh_rolling_max_24h,9.958527
temperature_2m_birmingham_al,8.999787
shortwave_radiation_huntsville_al,8.835139
HDH_regional_rolling_mean_3h,8.7932
day_of_year_cos,8.649122
HDH_regional_rolling_mean_6h,8.362163
CDH_regional_rolling_mean_24h,8.282578
shortwave_radiation_birmingham_al,7.976857
day_of_year_sin,7.728321
temperature_2m_mobile_al,7.4691195
temperature_2m_huntsville_al,7.0712376
day_of_year,6.4693108
shortwave_radiation_mobile_al,6.286516
demand_imputed_pudl_mwh_rolling_mean_6h,6.083454
HDH_regional_rolling_mean_24h,5.9550524
CDH_regional_rolling_mean_6h,5.5665584
relative_humidity_2m_regional_mean,5.0174165
shortwave_radiation_meridian_ms,5.01266
dew_point_2m_birmingham_al,4.782248
is_holiday,4.7310805
dew_point_2m_mobile_al,4.663995
is_weekend,4.2759666
demand_imputed_pudl_mwh_lag_72h,4.2598677
temperature_2m_meridian_ms,4.2181787
precipitation_regional_mean,4.1468043
demand_imputed_pudl_mwh_rolling_mean_168h,4.145675
dew_point_2m_huntsville_al,4.0748954
dew_point_2m_meridian_ms,3.8723516
day_of_week_cos,3.6721673
day_of_week_sin,3.402014
wind_speed_10m_regional_mean,3.2264316
dew_point_2m_albany_ga,3.1115277
relative_humidity_2m_savannah_ga,2.883996
month_cos,2.5728238
dew_point_2m_savannah_ga,2.4851944
week_of_year,2.391415
demand_imputed_pudl_mwh_lag_48h,2.3458369
wind_speed_10m_albany_ga,2.2782428
wind_speed_10m_savannah_ga,2.2752795
wind_speed_10m_atlanta_ga,2.2703438
relative_humidity_2m_mobile_al,2.2552247
month_sin,2.1509907
wind_speed_10m_meridian_ms,2.0693676
wind_speed_10m_huntsville_al,2.0462966
relative_humidity_2m_atlanta_ga,1.9413708
surface_pressure_albany_ga,1.8426193
wind_speed_10m_birmingham_al,1.8269342
surface_pressure_savannah_ga,1.655338
day_of_month,1.6315825
wind_speed_10m_mobile_al,1.5442219
surface_pressure_meridian_ms,1.4852774
relative_humidity_2m_huntsville_al,1.4848386
relative_humidity_2m_meridian_ms,1.34268
relative_humidity_2m_birmingham_al,1.3327229
surface_pressure_atlanta_ga,1.2688737
precipitation_atlanta_ga,1.1467865
relative_humidity_2m_albany_ga,1.1283914
surface_pressure_huntsville_al,1.1273966
surface_pressure_mobile_al,1.0790571
month,1.0122879
surface_pressure_birmingham_al,0.8784343
precipitation_mobile_al,0.77323776
precipitation_savannah_ga,0.5204931
surface_pressure_regional_mean,0.48334017
precipitation_birmingham_al,0.43775997
precipitation_meridian_ms,0.33482724
precipitation_huntsville_al,0.2570492
precipitation_albany_ga,0.21326035
is_quarter_start,0.0652479
is_month_end,0.04667527
is_month_start,0.004664487
is_quarter_end,0.0014829142
quarter,0.0
