feature,importance
demand_imputed_pudl_mwh_lag_1h,0.6033059
hour_cos,0.009049
CDH_regional,0.04294992
hour,0.006135586
demand_imputed_pudl_mwh_lag_3h,0.007962658
demand_imputed_pudl_mwh_lag_2h,0.027451186
demand_imputed_pudl_mwh_lag_24h,0.18086557
temperature_2m_regional_mean,0.027757285
demand_imputed_pudl_mwh_rolling_mean_3h,0.025908817
temperature_2m_atlanta_ga,0.0019987687
day_of_week,0.0008382438
hour_sin,0.0020552457
HDH_regional,0.009861811
shortwave_radiation_regional_mean,0.0037213801
demand_imputed_pudl_mwh_rolling_mean_24h,0.0017922019
shortwave_radiation_atlanta_ga,0.0014985584
shortwave_radiation_savannah_ga,0.00079524645
temperature_2m_albany_ga,0.0022022007
year,0.00021636412
CDH_regional_rolling_mean_3h,0.017024726
demand_imputed_pudl_mwh_lag_168h,0.00026235345
dew_point_2m_atlanta_ga,0.00040902235
demand_imputed_pudl_mwh_rolling_min_24h,0.0008705575
demand_imputed_pudl_mwh_rolling_std_24h,0.0005284161
temperature_2m_savannah_ga,0.0005834305
dew_point_2m_regional_mean,0.0006481451
shortwave_radiation_albany_ga,0.00074595463
demand_imputed_pudl_mwh_rolling_max_24h,0.0022096687
temperature_2m_birmingham_al,0.0010561412
shortwave_radiation_huntsville_al,0.00059699436
HDH_regional_rolling_mean_3h,0.0048573995
day_of_year_cos,0.00032400523
HDH_regional_rolling_mean_6h,0.0039690766
CDH_regional_rolling_mean_24h,0.0008365366
shortwave_radiation_birmingham_al,0.0013435686
day_of_year_sin,0.00032750593
temperature_2m_mobile_al,0.0005853376
temperature_2m_huntsville_al,0.00036839538
day_of_year,0.00032122788
shortwave_radiation_mobile_al,0.0005926262
demand_imputed_pudl_mwh_rolling_mean_6h,0.00085537566
HDH_regional_rolling_mean_24h,0.0005573985
CDH_regional_rolling_mean_6h,0.00023719971
relative_humidity_2m_regional_mean,0.00018800888
shortwave_radiation_meridian_ms,0.00041470196
dew_point_2m_birmingham_al,0.00035083864
is_holiday,0.00038683845
dew_point_2m_mobile_al,0.00021505625
is_weekend,0.0018271324
demand_imputed_pudl_mwh_lag_72h,0.00014048979
