model,split,forecast_horizon_hour,n_rows,mae,rmse,mape
xgboost_pruned_top50,test,1,199,239.5136816896985,337.63741367836724,0.7768336248569472
xgboost_pruned_top50,test,2,199,376.3115577889447,523.7787982430818,1.2376021284668597
xgboost_pruned_top50,test,3,199,442.1525793027638,647.0809547743687,1.483149647962252
xgboost_pruned_top50,test,4,199,465.4677685301508,717.1098264903967,1.611734030507816
xgboost_pruned_top50,test,5,199,491.5340177449749,783.9714360628981,1.77742285840033
xgboost_pruned_top50,test,6,199,490.5971655150754,838.753852078504,1.8584784825802736
xgboost_pruned_top50,test,7,199,567.5709210113065,836.1171420700032,2.2426444656816504
xgboost_pruned_top50,test,8,198,595.2798591382576,780.9551080130898,2.4713283043740457
xgboost_pruned_top50,test,9,198,619.7270557133838,808.5866732387778,2.6374049602632748
xgboost_pruned_top50,test,10,198,626.6995738636364,806.6773478404382,2.683843792421897
xgboost_pruned_top50,test,11,198,632.2155539772727,799.3756987441866,2.6464589057599457
xgboost_pruned_top50,test,12,198,646.4991812657828,826.5736907965953,2.596097991469598
xgboost_pruned_top50,test,13,198,648.220762310606,849.85199585965,2.45571347480583
xgboost_pruned_top50,test,14,198,601.6709181660353,799.8048233254983,2.1918275983585493
xgboost_pruned_top50,test,15,198,549.1267558396464,737.3793792670339,1.932324562512648
xgboost_pruned_top50,test,16,198,580.7754695391415,782.2494107559829,1.9837457820438045
xgboost_pruned_top50,test,17,198,620.2248855744949,834.5608067130604,2.072882537660572
xgboost_pruned_top50,test,18,198,666.47516177399,910.603823152716,2.203616402382527
xgboost_pruned_top50,test,19,198,706.8562085700758,983.942743116325,2.3207665125837247
xgboost_pruned_top50,test,20,198,754.3652245107323,1033.7568351531563,2.4778843883476043
xgboost_pruned_top50,test,21,198,812.3741319444445,1083.8941775491817,2.6673938553591805
xgboost_pruned_top50,test,22,198,835.3306502525253,1106.1483433183143,2.7157725239169523
xgboost_pruned_top50,test,23,198,832.7966777146464,1092.986748549516,2.677634287061983
xgboost_pruned_top50,test,24,198,811.5302635732323,1050.361781116906,2.5836340336907697
xgboost_pruned_top50,test,25,198,796.3292002051768,1033.2272681383215,2.5250803916383946
xgboost_pruned_top50,test,26,198,757.2305969854798,989.3856346305564,2.415408608981475
xgboost_pruned_top50,test,27,198,720.9271326546717,944.3130790649564,2.361393345482813
xgboost_pruned_top50,test,28,198,679.5842112531566,911.549428222074,2.312444780603249
xgboost_pruned_top50,test,29,198,653.9797289299242,895.8352001993138,2.335690389032245
xgboost_pruned_top50,test,30,198,622.9822739109849,852.0472758423373,2.35069041608058
xgboost_pruned_top50,test,31,198,630.0593532986111,846.1561041543222,2.501560287195876
xgboost_pruned_top50,test,32,198,677.6768465909091,885.1479357113416,2.8128138901090014
xgboost_pruned_top50,test,33,198,720.8707485006313,921.310424052196,3.045274871889014
xgboost_pruned_top50,test,34,198,753.4045632102273,959.6485168352076,3.170629858628995
xgboost_pruned_top50,test,35,198,782.8173828125,1006.6141952106874,3.2101675369236062
xgboost_pruned_top50,test,36,198,815.8331952335859,1089.0010441428517,3.179423056981792
xgboost_pruned_top50,test,37,198,833.2167179608585,1143.1537671819638,3.071105342737147
xgboost_pruned_top50,test,38,198,791.7858467487374,1106.3889677075122,2.7927820030309345
xgboost_pruned_top50,test,39,198,713.9228614267677,1028.387578648601,2.476597001701701
xgboost_pruned_top50,test,40,198,688.218138415404,1062.7364183461505,2.359857324857716
xgboost_pruned_top50,test,41,198,681.6882496843434,1115.7073415213945,2.314183793756724
xgboost_pruned_top50,test,42,198,744.1749822443181,1188.5200009183948,2.508115958469192
xgboost_pruned_top50,test,43,198,814.5808475378788,1295.4634622156086,2.7383671157832943
xgboost_pruned_top50,test,44,198,874.2600615530303,1384.252099861459,2.9394723197117205
xgboost_pruned_top50,test,45,198,891.8130030776515,1451.7758628428198,3.015213750050056
xgboost_pruned_top50,test,46,198,914.0807784880052,1509.883810279833,3.084849838894427
xgboost_pruned_top50,test,47,198,908.24957583649,1508.6166278779135,3.041124075571997
xgboost_pruned_top50,test,48,198,924.0883739741162,1471.5907869216817,3.047758789566285
xgboost_pruned_top50,validation,1,183,208.2629674692623,300.75429220364776,0.6830046021818291
xgboost_pruned_top50,validation,2,183,327.7898202698088,459.5116765747807,1.1069073828522258
xgboost_pruned_top50,validation,3,183,392.8435365437159,558.1136128473001,1.3469002278179445
xgboost_pruned_top50,validation,4,183,402.2273949795082,568.5722103127671,1.429569393933742
xgboost_pruned_top50,validation,5,183,424.1744684938525,573.0817121174056,1.5775931043407772
xgboost_pruned_top50,validation,6,183,472.3839331454918,627.460672583975,1.8663472800671597
xgboost_pruned_top50,validation,7,183,478.9621008367486,650.4047255633076,1.9372342300042975
xgboost_pruned_top50,validation,8,183,487.5054431352459,684.7133854442899,2.019119566169434
xgboost_pruned_top50,validation,9,183,524.4058017418033,732.2532602912382,2.2063007163921675
xgboost_pruned_top50,validation,10,183,520.2205857240438,737.8172078019774,2.198860265284784
xgboost_pruned_top50,validation,11,183,553.9085339822404,785.0334109641796,2.3194009633677712
xgboost_pruned_top50,validation,12,183,614.3871243169399,893.9179082035351,2.482131691514911
xgboost_pruned_top50,validation,13,183,649.1204320355191,959.9008254786204,2.520025379664153
xgboost_pruned_top50,validation,14,183,681.4476498463115,1002.2911937499404,2.5622964425328543
xgboost_pruned_top50,validation,15,183,640.7786031420765,935.091676644687,2.369690672898406
xgboost_pruned_top50,validation,16,183,593.1694202527323,840.8655598579155,2.164132869869269
xgboost_pruned_top50,validation,17,183,611.8071742657104,839.7717853268699,2.182460244060137
xgboost_pruned_top50,validation,18,183,660.7122502561475,875.2768889188742,2.287019685511057
xgboost_pruned_top50,validation,19,183,696.1142524760929,924.3031594680248,2.365115944081444
xgboost_pruned_top50,validation,20,183,707.3549778005464,954.6036676768274,2.3780410120787536
xgboost_pruned_top50,validation,21,183,731.4999039446722,978.7679166954476,2.436576026031482
