feature,mean_abs_shap
demand_imputed_pudl_mwh_lag_1h,3938.6165
hour_cos,291.9676
demand_imputed_pudl_mwh_lag_24h,243.41397
CDH_regional,136.0443
demand_imputed_pudl_mwh_lag_3h,117.03873
demand_imputed_pudl_mwh_rolling_mean_3h,108.08572
hour,97.06753
demand_imputed_pudl_mwh_lag_2h,62.66324
temperature_2m_regional_mean,60.255524
day_of_week,56.64072
temperature_2m_atlanta_ga,54.960545
hour_sin,49.718018
HDH_regional,37.52285
CDH_regional_rolling_mean_3h,25.240915
demand_imputed_pudl_mwh_rolling_mean_24h,25.162786
shortwave_radiation_regional_mean,24.960064
temperature_2m_albany_ga,23.525925
shortwave_radiation_savannah_ga,22.851784
shortwave_radiation_atlanta_ga,22.353214
demand_imputed_pudl_mwh_lag_168h,17.503029
year,16.856922
dew_point_2m_atlanta_ga,16.358528
temperature_2m_birmingham_al,14.101673
demand_imputed_pudl_mwh_rolling_min_24h,14.050356
day_of_year_cos,12.241924
demand_imputed_pudl_mwh_rolling_max_24h,12.217389
HDH_regional_rolling_mean_6h,11.630031
temperature_2m_savannah_ga,11.357533
HDH_regional_rolling_mean_3h,11.226336
dew_point_2m_regional_mean,10.886497
demand_imputed_pudl_mwh_rolling_std_24h,10.731703
day_of_year_sin,10.546237
shortwave_radiation_huntsville_al,10.526553
relative_humidity_2m_regional_mean,9.759718
shortwave_radiation_birmingham_al,9.657146
shortwave_radiation_albany_ga,9.498183
CDH_regional_rolling_mean_24h,9.395612
temperature_2m_mobile_al,8.710495
dew_point_2m_mobile_al,8.575637
temperature_2m_huntsville_al,8.417924
is_weekend,8.142407
shortwave_radiation_mobile_al,7.6452346
dew_point_2m_birmingham_al,7.6308327
HDH_regional_rolling_mean_24h,7.6007147
demand_imputed_pudl_mwh_rolling_mean_6h,7.5406446
day_of_year,7.5184712
demand_imputed_pudl_mwh_lag_72h,5.908872
CDH_regional_rolling_mean_6h,5.458834
is_holiday,5.266822
shortwave_radiation_meridian_ms,4.1035986
